id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
70,tt0076251,2016-11-25,2016-11-25,,Juventud drogada,https://www.imdb.com/title/tt0076251/,movie,5.0,,1977,,43,,José Truchado
71,tt0075398,2016-11-25,2016-11-25,,La viuda andaluza,https://www.imdb.com/title/tt0075398/,movie,4.3,80,1977,Comedy,41,1977-12-05,Francesc Betriu
72,tt0384833,2016-11-25,2016-11-25,,Frankenfish,https://www.imdb.com/title/tt0384833/,tvMovie,4.7,84,2004,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",5368,2004-10-09,Mark A.Z. Dippé
73,tt0077904,2016-11-25,2016-11-25,,The Manitou,https://www.imdb.com/title/tt0077904/,movie,5.3,104,1978,"Horror, Sci-Fi",3019,1978-04-15,William Girdler
74,tt0113858,2016-11-25,2016-11-25,,Mosquito,https://www.imdb.com/title/tt0113858/,movie,4.8,92,1994,"Horror, Sci-Fi",2697,1994-11-21,Gary Jones
75,tt0084887,2016-11-25,2016-11-25,,Warlords of the 21st Century,https://www.imdb.com/title/tt0084887/,movie,5.0,91,1982,"Action, Adventure, Sci-Fi",1429,1982-01-31,Harley Cokeliss
76,tt0090630,2016-11-25,2016-11-25,,America 3000,https://www.imdb.com/title/tt0090630/,movie,4.2,92,1986,"Action, Adventure, Comedy, Sci-Fi",1464,1986-04-30,David Engelbach
77,tt0069005,2016-11-25,2016-11-25,,Night of the Lepus,https://www.imdb.com/title/tt0069005/,movie,4.1,88,1972,"Horror, Sci-Fi, Thriller",5116,1972-09-08,William F. Claxton
78,tt0109912,2016-11-25,2016-11-25,,A Gnome Named Gnorm,https://www.imdb.com/title/tt0109912/,movie,4.4,84,1990,"Adventure, Family, Fantasy, Action, Comedy",1305,1990-07-24,Stan Winston
79,tt0093974,2016-11-25,2016-11-25,,"Silent Night, Deadly Night 2",https://www.imdb.com/title/tt0093974/,movie,3.8,88,1987,"Horror, Thriller",8147,1987-04-10,Lee Harry
80,tt0094764,2016-11-25,2016-11-25,,The Blood of Heroes,https://www.imdb.com/title/tt0094764/,movie,6.3,90,1989,"Action, Sci-Fi, Sport",7232,1989-09-13,David Webb Peoples
